objective,intervention,lr,s_rel,cfg,n,gsm8k,mmlu,gsm8k_spread,gsm8k_se,mmlu_se
sft,exact_iso,1e-06,1.0,v3_sft_exact_iso_lr0.1,2,0.403,0.451,0.009999999999999953,0.01551099609954177,0.011126522367748155
sft,frame_matched,1e-06,1.0,v3_sft_frame_matched_lr0.1,2,0.4,0.4535,0.023999999999999966,0.015491933384829668,0.011131885509651992
sft,none,3.33e-07,1.0,v3_sft_full_lr0.033,2,0.39,0.4605,0.02400000000000002,0.01542400726140908,0.011145397031958978
sft,none,1e-06,1.0,v3_sft_full_lr0.1,2,0.415,0.456,0.014000000000000012,0.015581238718407466,0.011136965475388708
sft,none,3.33e-06,1.0,v3_sft_full_lr0.33,2,0.42,0.3025,0.008000000000000007,0.015607690412101338,0.010271167168340705
sft,random_ext,1e-06,1.0,v3_sft_random_ext_lr0.1,2,0.375,0.475,0.04200000000000004,0.015309310892394862,0.011166355717063647
sft,random_ext,1e-06,3.0,v3_sft_random_ext_lr0.1_srel3,1,0.378,0.462,0.0,0.02168483340955148,0.01576565888252058
sft,random_ext,1e-06,10.0,v3_sft_random_ext_lr0.1_srel10,1,0.366,0.462,0.0,0.021542701780417423,0.01576565888252058
sft,random_ext,1e-05,1.0,v3_sft_random_ext_lr1,1,0.386,0.473,0.0,0.0217717247823869,0.01578831846651188
sft,spectrum_matched,1e-06,1.0,v3_sft_spectrum_matched_lr0.1,2,0.389,0.474,0.006000000000000005,0.015416841440450765,0.011165213835838524
sft,spectrum_matched,1e-06,3.0,v3_sft_spectrum_matched_lr0.1_srel3,1,0.378,0.475,0.0,0.02168483340955148,0.015791611697353755
sft,spectrum_matched,1e-06,10.0,v3_sft_spectrum_matched_lr0.1_srel10,1,0.368,0.468,0.0,0.021567382780485908,0.015778973350633434
sft,spectrum_matched,1e-05,1.0,v3_sft_spectrum_matched_lr1,1,0.4,0.473,0.0,0.021908902300206645,0.01578831846651188
