matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.001,0.03146451568603516,0.0003174305586909735,0.32063182786585237
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.003,0.09439354705810547,0.0003528561267869482,0.03960162897846607
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.01,0.31464515686035155,0.00036583255599685757,0.003695219565684643
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.03,0.9439354705810546,0.0004510820683547389,0.000506256894913131
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.001,0.03146451568603516,7.830180143865128e-06,0.007909147066368348
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.003,0.09439354705810547,0.0003485985011915018,0.039123788588686204
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.01,0.31464515686035155,0.0003884877945443247,0.0039240567191133075
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.03,0.9439354705810546,0.0006184351358182805,0.0006940800211954467
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.001,0.03146451568603516,0.00032012690292804104,0.3233553645815728
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.003,0.09439354705810547,0.0003178014875643643,0.035667388615098515
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.01,0.31464515686035155,0.0003805499603889931,0.0038438778514889808
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.03,0.9439354705810546,0.0006413917504588202,0.0007198446109696012
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.001,0.03146451568603516,0.0003173450810690785,0.3205454882069902
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.003,0.09439354705810547,0.0003249819795245786,0.0364732671500147
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.01,0.31464515686035155,0.00034391088036384384,0.0034737920208042458
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.03,0.9439354705810546,0.0004600134694928257,0.0005162807547040627
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.001,0.007667405605316162,0.00033400624709152966,5.681430700073919
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.003,0.02300221681594849,0.000326020492899608,0.6161770437071021
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.01,0.07667405605316162,0.0003381077099845968,0.05751196392778164
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.03,0.23002216815948484,0.0003702040163283121,0.006996836742404345
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.001,0.007667405605316162,0.0,0.0
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.003,0.02300221681594849,0.00032921455154954766,0.622213798019209
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.01,0.07667405605316162,0.00033667346072786694,0.05726799879749741
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.03,0.23002216815948484,0.00032554265716134385,0.006152739366356341
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.001,0.007667405605316162,0.0003116179651827408,5.300607067982852
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.003,0.02300221681594849,0.00031830729298795073,0.6015991358068451
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.01,0.07667405605316162,0.0003376089306676,0.05742712179836569
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.03,0.23002216815948484,0.0003837952303679847,0.007253709984109882
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,gauss,0.001,0.007667405605316162,0.0003254306046575713,5.535559421852597
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,gauss,0.003,0.02300221681594849,0.00032762710470268683,0.6192135316971711
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,gauss,0.01,0.07667405605316162,0.0003159639134945801,0.05374531446268664
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,gauss,0.03,0.23002216815948484,0.0003752567449788673,0.007092333052309992
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_rand,0.001,0.008579773902893066,0.0003356138818457548,4.559195647982267
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_rand,0.003,0.0257393217086792,0.0003323912519559757,0.501713040331648
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_rand,0.01,0.08579773902893066,0.00036222158058562116,0.04920651805964954
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_rand,0.03,0.25739321708679197,0.00046925917775785556,0.007083021812126558
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_scale,0.001,0.008579773902893066,0.0,0.0
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_scale,0.003,0.0257393217086792,0.00035593613840553714,0.5372518112690897
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_scale,0.01,0.08579773902893066,0.0003667771817930906,0.04982538033926713
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,spec_scale,0.03,0.25739321708679197,0.0004482218904739964,0.006765483931649691
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,frame_rot,0.001,0.008579773902893066,0.00031807704369581405,4.320963916526876
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,frame_rot,0.003,0.0257393217086792,0.00033308012223059503,0.502752824615499
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,frame_rot,0.01,0.08579773902893066,0.0003671765870909855,0.04987963813354933
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,frame_rot,0.03,0.25739321708679197,0.0005230275028254776,0.007894603635789893
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,gauss,0.001,0.008579773902893066,0.0003283399337887147,4.4603816414134085
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,gauss,0.003,0.0257393217086792,0.0003290397964145608,0.4966543363515495
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,gauss,0.01,0.08579773902893066,0.00036051610479877146,0.048974835217975014
model.layers.7.self_attn.v_proj.weight,self_attn,512,1024,8.579773902893066,gauss,0.03,0.25739321708679197,0.0004581131058668312,0.006914782438096894
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_rand,0.001,0.016176931381225588,0.00032104011532146763,1.2267809292156153
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_rand,0.003,0.04853079414367676,0.000333275288689146,0.1415038698801006
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_rand,0.01,0.16176931381225587,0.0003557374540078065,0.013593688251310933
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_rand,0.03,0.4853079414367676,0.0004790050106062884,0.002033786031942185
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.001,0.016176931381225588,1.374933649963167e-05,0.05253992570438255
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.003,0.04853079414367676,0.0003244471385781225,0.1377555649592475
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.01,0.16176931381225587,0.0003583542352855678,0.013693682526614239
model.layers.7.self_attn.o_proj.weight,self_attn,1024,2048,16.176931381225586,spec_scale,0.03,0.4853079414367676,0.00045788706278190877,0.0019441222782078662
