matrix,family,direction,slope,kl_per_step2_at_min_eta
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,0.11164498344760447,0.23753127129086712
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,gauss,0.07457695645494367,0.2435080611422851
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,0.10717491901095841,0.2515813100861567
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,16.087664075670855,0.0
model.layers.1.linear_attn.out_proj.weight,linear_attn,frame_rot,0.12477455437163242,1.2177329141153805
model.layers.1.linear_attn.out_proj.weight,linear_attn,gauss,0.2180840323454668,1.197912011711631
model.layers.1.linear_attn.out_proj.weight,linear_attn,spec_rand,0.4205831286827614,1.2304494666216177
model.layers.1.linear_attn.out_proj.weight,linear_attn,spec_scale,16.131149774234633,0.0
model.layers.1.mlp.down_proj.weight,mlp,frame_rot,0.1840494160242381,1.446311927869473
model.layers.1.mlp.down_proj.weight,mlp,gauss,0.10319934845633129,1.4737900592367275
model.layers.1.mlp.down_proj.weight,mlp,spec_rand,0.1258534016797042,1.4856480691896172
model.layers.1.mlp.down_proj.weight,mlp,spec_scale,0.8565630010972166,0.09619749985071382
model.layers.1.mlp.gate_proj.weight,mlp,frame_rot,0.08103396555194513,0.672002709223177
model.layers.1.mlp.gate_proj.weight,mlp,gauss,0.09248137000960413,0.6102317747614225
model.layers.1.mlp.gate_proj.weight,mlp,spec_rand,0.11926161052020846,0.6565466427381216
model.layers.1.mlp.gate_proj.weight,mlp,spec_scale,1.1619281713974394,0.010561013888362041
model.layers.1.mlp.up_proj.weight,mlp,frame_rot,0.08882613717377466,1.5894970086647637
model.layers.1.mlp.up_proj.weight,mlp,gauss,0.10440574567970672,1.5014889464692396
model.layers.1.mlp.up_proj.weight,mlp,spec_rand,0.1012183957378289,1.5040989230167034
model.layers.1.mlp.up_proj.weight,mlp,spec_scale,1.0004385468488455,0.04964694839382206
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,0.16806949915786007,0.1213135576743102
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,gauss,0.1297113852086152,0.11965386275298646
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,0.09062927904054142,0.12023496044424795
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,15.964690032202402,0.0
model.layers.12.linear_attn.out_proj.weight,linear_attn,frame_rot,0.08898071584617659,0.9031685109629064
model.layers.12.linear_attn.out_proj.weight,linear_attn,gauss,0.12781135141945235,0.97974592358443
model.layers.12.linear_attn.out_proj.weight,linear_attn,spec_rand,0.09092921649585851,0.9430109756245115
model.layers.12.linear_attn.out_proj.weight,linear_attn,spec_scale,15.956966131365684,0.0
model.layers.12.mlp.down_proj.weight,mlp,frame_rot,0.09553985838440668,1.0818158784234868
model.layers.12.mlp.down_proj.weight,mlp,gauss,0.11230843769594546,1.063252707670193
model.layers.12.mlp.down_proj.weight,mlp,spec_rand,0.11219135753116026,1.0513795695214965
model.layers.12.mlp.down_proj.weight,mlp,spec_scale,1.4462816501776896,0.005873742726178596
model.layers.12.mlp.gate_proj.weight,mlp,frame_rot,0.11609591733112781,0.47974804097220375
model.layers.12.mlp.gate_proj.weight,mlp,gauss,0.09735384864893487,0.45172451966532284
model.layers.12.mlp.gate_proj.weight,mlp,spec_rand,0.07877545492329284,0.4671280821637395
model.layers.12.mlp.gate_proj.weight,mlp,spec_scale,1.4375904026744222,0.0029207147007908715
model.layers.12.mlp.up_proj.weight,mlp,frame_rot,0.12711108798616252,0.9477729790631819
model.layers.12.mlp.up_proj.weight,mlp,gauss,0.13091586609472886,0.9457554841596505
model.layers.12.mlp.up_proj.weight,mlp,spec_rand,0.11332334460252588,1.0147276848300377
model.layers.12.mlp.up_proj.weight,mlp,spec_scale,15.96113539897175,0.0
model.layers.15.self_attn.k_proj.weight,self_attn,frame_rot,0.07479270882296907,3.1060183582826113
model.layers.15.self_attn.k_proj.weight,self_attn,gauss,0.08572612261419885,3.1929126555759457
model.layers.15.self_attn.k_proj.weight,self_attn,spec_rand,0.1023359652614014,3.105607316423249
model.layers.15.self_attn.k_proj.weight,self_attn,spec_scale,15.845265748153762,0.0
model.layers.15.self_attn.o_proj.weight,self_attn,frame_rot,0.13975943358745166,0.5352572287547598
model.layers.15.self_attn.o_proj.weight,self_attn,gauss,0.24734937435886817,0.5244328467283499
model.layers.15.self_attn.o_proj.weight,self_attn,spec_rand,0.20728695954367982,0.5373373333431773
