matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.0001,0.0031464515686035156,4.92631585000333e-10,4.975997465854582e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.0003,0.009439354705810546,6.45347819505373e-09,7.242845729456439e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.001,0.03146451568603516,7.469998838286533e-08,7.54533335275799e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.003,0.09439354705810547,6.781560966825844e-07,7.611058471580392e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.01,0.31464515686035155,7.527711883020255e-06,7.603628430273485e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_rand,0.03,0.9439354705810546,6.734327245249598e-05,7.558047281604258e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.0001,0.0031464515686035156,1.0285254648580144e-09,0.00010388980858174017
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.0003,0.009439354705810546,1.8753012766201308e-08,0.00021046817595545063
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.001,0.03146451568603516,2.2535945153499085e-07,0.000227632188817884
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.003,0.09439354705810547,2.018495746972283e-06,0.00022653912911783632
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.01,0.31464515686035155,2.225202799666371e-05,0.00022476438436534472
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,spec_scale,0.03,0.9439354705810546,0.00019512528546560654,0.00021899234766559406
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.0001,0.0031464515686035156,1.8106592374558199e-09,0.00018289196331372582
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.0003,0.009439354705810546,2.4694031987866878e-08,0.000277145221104901
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.001,0.03146451568603516,2.812182494390776e-07,0.00028405431952966754
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.003,0.09439354705810547,2.5730122197697756e-06,0.0002887734335583912
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.01,0.31464515686035155,2.8494745339795507e-05,0.0002878211322988928
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,frame_rot,0.03,0.9439354705810546,0.00025316061185363915,0.0002841263580678207
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.0001,0.0031464515686035156,-2.697393809469694e-10,-2.7245968730007362e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.0003,0.009439354705810546,7.108700059443817e-09,7.978212106921161e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.001,0.03146451568603516,9.479093327658076e-08,9.574689446068256e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.003,0.09439354705810547,8.7046500031927e-07,9.769373227348806e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.01,0.31464515686035155,9.725401452177066e-06,9.823481574048656e-05
model.layers.7.self_attn.q_proj.weight,self_attn,4096,1024,31.464515686035156,gauss,0.03,0.9439354705810546,8.771372012614568e-05,9.844256446350357e-05
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.0001,0.0007667405605316163,-3.714497080281577e-10,-0.0006318342225935531
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.0003,0.0023002216815948486,1.1999446288908278e-09,0.00022678891362508434
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.001,0.007667405605316162,2.5544231486631762e-08,0.000434506187359347
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.003,0.02300221681594849,2.4270152199724956e-07,0.00045870462006058533
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.01,0.07667405605316162,2.718274218750366e-06,0.0004623771780351059
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_rand,0.03,0.23002216815948484,2.4370409610278667e-05,0.00046059947992952447
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.0001,0.0007667405605316163,-1.5353749818341443e-09,-0.002611665690051448
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.0003,0.0023002216815948486,-8.275599703270144e-10,-0.00015640840594749317
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.001,0.007667405605316162,-1.2380022165130872e-09,-2.1058360018426682e-05
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.003,0.02300221681594849,-1.4105232767152843e-09,-2.66588169043138e-06
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.01,0.07667405605316162,-6.024447421340938e-10,-1.0247556992910977e-07
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,spec_scale,0.03,0.23002216815948484,-1.2199246071963045e-09,-2.30565119180786e-08
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.0001,0.0007667405605316163,2.3039435110973364e-11,3.918997177198742e-05
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.0003,0.0023002216815948486,4.196261450069346e-09,0.0007930912415748073
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.001,0.007667405605316162,4.0637113955043665e-08,0.0006912354148972513
model.layers.7.self_attn.k_proj.weight,self_attn,512,1024,7.667405605316162,frame_rot,0.003,0.02300221681594849,3.806766042345096e-07,0.0007194768111644698
