matrix,family,direction,slope,kl_per_step2_at_min_eta
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,2.109739121760221,5.334730858243863e-05
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,gauss,2.083748185027324,3.888191607989665e-05
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,2.14243892220598,3.777281712586781e-05
model.layers.1.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,2.051354352903378,4.53876884217066e-05
model.layers.1.linear_attn.out_proj.weight,linear_attn,frame_rot,2.1011013351017898,0.0004156636781468038
model.layers.1.linear_attn.out_proj.weight,linear_attn,gauss,2.048506372852159,0.0009698490811192996
model.layers.1.linear_attn.out_proj.weight,linear_attn,spec_rand,2.054254835520011,0.0030092289793416382
model.layers.1.linear_attn.out_proj.weight,linear_attn,spec_scale,2.1134387822156904,0.000267781634772405
model.layers.1.mlp.down_proj.weight,mlp,frame_rot,2.0775797762280748,0.0006940307756254293
model.layers.1.mlp.down_proj.weight,mlp,gauss,2.028024363622646,0.00047504018854899736
model.layers.1.mlp.down_proj.weight,mlp,spec_rand,2.131350885354666,0.0002867777347956609
model.layers.1.mlp.down_proj.weight,mlp,spec_scale,8.104429486331682,-0.0001276211554549535
model.layers.1.mlp.gate_proj.weight,mlp,frame_rot,2.028906922290176,0.00022600945984161967
model.layers.1.mlp.gate_proj.weight,mlp,gauss,8.047627371790544,-5.805397609831254e-05
model.layers.1.mlp.gate_proj.weight,mlp,spec_rand,2.031669067357055,0.0002830660999898988
model.layers.1.mlp.gate_proj.weight,mlp,spec_scale,8.05805380155724,-2.575870960674727e-05
model.layers.1.mlp.up_proj.weight,mlp,frame_rot,1.9981687712511476,0.0005807339630965045
model.layers.1.mlp.up_proj.weight,mlp,gauss,2.281553080896274,6.816716734404475e-05
model.layers.1.mlp.up_proj.weight,mlp,spec_rand,1.9828959519893414,0.0007059823007828297
model.layers.1.mlp.up_proj.weight,mlp,spec_scale,2.0715124244306575,0.0005090732719310111
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,8.066126675796516,-7.500977441357431e-06
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,gauss,2.0578975867001508,3.781040223041426e-05
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,2.164859746049617,9.682414353454544e-06
model.layers.12.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,7.8521318115128205,-4.8287483226526664e-05
model.layers.12.linear_attn.out_proj.weight,linear_attn,frame_rot,2.0955232493655718,8.314998111442921e-05
model.layers.12.linear_attn.out_proj.weight,linear_attn,gauss,1.9867245539413902,0.0003866459286035241
model.layers.12.linear_attn.out_proj.weight,linear_attn,spec_rand,2.2713390131772386,2.8407471336197547e-05
model.layers.12.linear_attn.out_proj.weight,linear_attn,spec_scale,7.894467511490324,-0.00037594712313961283
model.layers.12.mlp.down_proj.weight,mlp,frame_rot,7.9571694125388,-0.0005058155206735455
model.layers.12.mlp.down_proj.weight,mlp,gauss,7.9540927365110985,-0.00013228148659389448
model.layers.12.mlp.down_proj.weight,mlp,spec_rand,7.992546461210634,-2.5288363418643234e-05
model.layers.12.mlp.down_proj.weight,mlp,spec_scale,1.9502416072988318,0.00045858300838315624
model.layers.12.mlp.gate_proj.weight,mlp,frame_rot,7.984531622438839,-0.00010667411153305554
model.layers.12.mlp.gate_proj.weight,mlp,gauss,2.1753549374857606,3.07942697744755e-05
model.layers.12.mlp.gate_proj.weight,mlp,spec_rand,2.0145061354710228,8.65684215261822e-05
model.layers.12.mlp.gate_proj.weight,mlp,spec_scale,1.8444981087654921,0.00065674100894504
model.layers.12.mlp.up_proj.weight,mlp,frame_rot,2.118055052480077,0.00015093187433072442
model.layers.12.mlp.up_proj.weight,mlp,gauss,8.005054892664496,-0.00033494634521427234
model.layers.12.mlp.up_proj.weight,mlp,spec_rand,2.06194328424517,0.0002465502963339571
model.layers.12.mlp.up_proj.weight,mlp,spec_scale,1.9682557144373707,0.0003622841305109065
model.layers.15.self_attn.k_proj.weight,self_attn,frame_rot,7.9504186762528155,-0.0005017630626947575
model.layers.15.self_attn.k_proj.weight,self_attn,gauss,7.900173245655087,-0.0004524671053874622
model.layers.15.self_attn.k_proj.weight,self_attn,spec_rand,7.922810568264398,-2.0470783260591046e-05
model.layers.15.self_attn.k_proj.weight,self_attn,spec_scale,0.0,-0.0035743819345592644
model.layers.15.self_attn.o_proj.weight,self_attn,frame_rot,2.0538342716596834,0.00015184821177134547
model.layers.15.self_attn.o_proj.weight,self_attn,gauss,8.094194539821602,-6.052622170026695e-05
model.layers.15.self_attn.o_proj.weight,self_attn,spec_rand,1.9967301864069864,0.0004484907900324146
model.layers.15.self_attn.o_proj.weight,self_attn,spec_scale,2.06432950844122,0.00011840606427396192
model.layers.15.self_attn.q_proj.weight,self_attn,frame_rot,1.9554413265806148,0.0003001537831349177
model.layers.15.self_attn.q_proj.weight,self_attn,gauss,2.068347010532828,7.322204540254056e-05
model.layers.15.self_attn.q_proj.weight,self_attn,spec_rand,7.928058155754197,-7.718077589797959e-05
model.layers.15.self_attn.q_proj.weight,self_attn,spec_scale,7.889744137122269,-4.747285518897348e-06
model.layers.15.self_attn.v_proj.weight,self_attn,frame_rot,7.964083633773879,-2.247113866399142e-05
model.layers.15.self_attn.v_proj.weight,self_attn,gauss,8.02555477697023,-0.00021540878000622307
model.layers.15.self_attn.v_proj.weight,self_attn,spec_rand,7.9699785546947925,-0.0005632957439142565
model.layers.15.self_attn.v_proj.weight,self_attn,spec_scale,7.974276472423641,-0.0005733083532006078
model.layers.19.self_attn.k_proj.weight,self_attn,frame_rot,7.767817330004878,-0.0024688412471704658
model.layers.19.self_attn.k_proj.weight,self_attn,gauss,7.786797301238385,-0.001554232465352714
model.layers.19.self_attn.k_proj.weight,self_attn,spec_rand,7.891504450598164,-0.002713812067431432
model.layers.19.self_attn.k_proj.weight,self_attn,spec_scale,0.0,-0.0024931620119153725
model.layers.19.self_attn.o_proj.weight,self_attn,frame_rot,8.005298617301401,-0.00015148510990044763
model.layers.19.self_attn.o_proj.weight,self_attn,gauss,2.0277071808133975,0.00017368648679640323
model.layers.19.self_attn.o_proj.weight,self_attn,spec_rand,8.009715861032612,-0.00014604555647168134
model.layers.19.self_attn.o_proj.weight,self_attn,spec_scale,2.0198515019185943,7.913112589376091e-05
model.layers.19.self_attn.q_proj.weight,self_attn,frame_rot,2.062984170402157,5.202487606697603e-05
model.layers.19.self_attn.q_proj.weight,self_attn,gauss,2.059506105121172,3.46780429137396e-05
model.layers.19.self_attn.q_proj.weight,self_attn,spec_rand,11.589973622447918,-6.595159181162593e-05
model.layers.19.self_attn.q_proj.weight,self_attn,spec_scale,7.942058605298518,-0.00014055084556249334
model.layers.19.self_attn.v_proj.weight,self_attn,frame_rot,7.898474100590865,-0.0006431242119251698
model.layers.19.self_attn.v_proj.weight,self_attn,gauss,7.913539705510057,-0.0004904463061930854
model.layers.19.self_attn.v_proj.weight,self_attn,spec_rand,11.568531216906829,-0.0003819258624660203
model.layers.19.self_attn.v_proj.weight,self_attn,spec_scale,2.0625148744098887,0.00018614003114867132
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,1.961713643450707,1.8056671045412343e-05
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,gauss,7.8027240312339625,-2.637822883299804e-06
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,7.7270687341069415,-8.202950132178308e-06
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,1.8778246502147562,4.032993377067866e-06
model.layers.21.linear_attn.out_proj.weight,linear_attn,frame_rot,2.033598804981153,2.558819614368507e-05
model.layers.21.linear_attn.out_proj.weight,linear_attn,gauss,7.963890190410774,-0.000290373576207058
model.layers.21.linear_attn.out_proj.weight,linear_attn,spec_rand,1.8284237418275544,0.00017022660132227194
model.layers.21.linear_attn.out_proj.weight,linear_attn,spec_scale,11.529235053389344,-1.8752565131334622e-05
model.layers.22.mlp.down_proj.weight,mlp,frame_rot,8.448417665735802,-0.00024795513290031793
model.layers.22.mlp.down_proj.weight,mlp,gauss,1.9181768724226762,0.00018115137882891697
model.layers.22.mlp.down_proj.weight,mlp,spec_rand,11.637044377570671,-2.5522980817272046e-05
model.layers.22.mlp.down_proj.weight,mlp,spec_scale,1.9400268664547595,0.00036442357160583103
model.layers.22.mlp.gate_proj.weight,mlp,frame_rot,7.8904099224501625,-9.330887738569655e-05
model.layers.22.mlp.gate_proj.weight,mlp,gauss,1.886090707450733,6.132514554670826e-05
model.layers.22.mlp.gate_proj.weight,mlp,spec_rand,7.790803824570577,-6.122537308843571e-05
model.layers.22.mlp.gate_proj.weight,mlp,spec_scale,1.9994391583160078,8.054758892626424e-05
model.layers.22.mlp.up_proj.weight,mlp,frame_rot,11.580297355027303,-0.0006267799539302443
model.layers.22.mlp.up_proj.weight,mlp,gauss,7.952849785140507,-0.000220557871044425
model.layers.22.mlp.up_proj.weight,mlp,spec_rand,7.800506919390516,-0.0004392022355444788
model.layers.22.mlp.up_proj.weight,mlp,spec_scale,7.942248221611349,-5.219720956869467e-05
