step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split,rho_sigma_absmed,rho_frame_absmed
25,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0002635637647472322,2.709738254547119,0.00043938966700807214,0.3255176544189453,0.0013275248929858208,0.16873642802238464,0.2654356062412262,0.009083583019673824,0.5382980108261108,1.5360020399093628,0.00016262600547634065,167.83212280273438,4.21035610997933e-06,0.00026635214453563094,7.214035576907918e-05,0.21608303487300873,0.27715277671813965,0.006691919174045324,0.5407161712646484,1.5373802185058594,8.0,0.08913502097129822,0.08811987191438675,0.8381525278091431,8.238542250182945e-06,0.0012683506356552243,0.15892294049263,0.006495476896203037,0.0005531113129109144,0.0018389647593721747,0.0021335664205253124,0.059896066784858704,0.4017118513584137,0.41048675775527954
25,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.001078031724318862,2.4533843994140625,7.515691777371103e-06,0.2429402619600296,0.0015171192353591323,0.13214634358882904,0.2664169669151306,0.026728328317403793,0.7356433272361755,1.3115290403366089,0.0008641603053547442,110.35794830322266,-2.9419781640172005e-05,9.469548967899755e-05,7.687525794608518e-05,0.21373221278190613,0.26506510376930237,0.008981741964817047,0.5483974814414978,1.4267570972442627,,,,,,,,,,,,,,
25,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008490279433317482,1.7908343076705933,-0.001662009977735579,0.45976269245147705,0.00046348856994882226,0.13773910701274872,0.2508033215999603,0.004223147872835398,0.732984185218811,1.4725204706192017,0.0007975261542014778,51.68034744262695,3.657046545413323e-05,0.00010069496056530625,6.105638749431819e-05,0.22756069898605347,0.25564005970954895,0.007888671942055225,0.5192232728004456,1.465164065361023,,,,,,,,,,,,,,
25,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00022978022752795368,1.9770777225494385,-0.0005431743920780718,0.7428532242774963,4.442723729880527e-05,0.14320550858974457,0.3615299463272095,0.014212033711373806,0.5317894220352173,1.434505820274353,0.00045104071614332497,149.95489501953125,2.424378544674255e-05,0.00012387653987389058,5.499434337252751e-05,0.17227280139923096,0.32325050234794617,0.006509506609290838,0.6311393976211548,1.5283613204956055,,,,,,,,,,,,,,
25,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00017637548444326967,3.0983126163482666,0.00051376927876845,0.36245858669281006,0.0001490935101173818,0.20249326527118683,0.2445267140865326,0.0031289563048630953,0.45131444931030273,1.549596905708313,0.00018644073861651123,225.62680053710938,1.908444392029196e-05,0.00027372181648388505,3.178785846102983e-05,0.22757171094417572,0.2619169354438782,0.0041960799135267735,0.4875835180282593,1.5475631952285767,8.0,0.08665402233600616,0.08011024445295334,0.8441271185874939,6.256143478822196e-06,0.0003067974466830492,0.21144098043441772,0.02039177166062071,0.009222137741744518,-4.6511453547282144e-05,0.002055692719295621,0.053758349269628525,,
25,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010873700957745314,4.456499099731445,1.3544349997118843e-07,0.29689493775367737,0.00011314608855172992,0.2511690855026245,0.23798005282878876,0.0036846292205154896,0.5549782514572144,1.4611073732376099,0.0008788377745077014,77.57025146484375,6.0786220274167135e-05,0.0001017121467157267,5.467096343636513e-05,0.18748250603675842,0.3081533908843994,0.00713751744478941,0.5942177772521973,1.4715487957000732,,,,,,,,,,,,,,
25,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0007894585141912103,1.583420753479004,0.00013813945406582206,0.3275095820426941,0.00011806198017438874,0.15831701457500458,0.2860148251056671,0.003770605893805623,0.7031204104423523,1.446445107460022,0.000991480308584869,106.97151184082031,6.84568440192379e-05,8.294688450405374e-05,5.414695624494925e-05,0.2359083890914917,0.25435546040534973,0.006367349531501532,0.501811146736145,1.4612963199615479,,,,,,,,,,,,,0.3886604607105255,0.41079452633857727
25,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0004001460038125515,1.7698310613632202,4.48594983026851e-05,0.566633403301239,1.791685826901812e-05,0.08334684371948242,0.44600480794906616,0.018045658245682716,0.5691956877708435,1.4517300128936768,0.000479935115436092,95.94572448730469,1.24482573937712e-06,0.0001081833615899086,6.706978456350043e-05,0.18292315304279327,0.314991295337677,0.0076088677160441875,0.5929349660873413,1.509211778640747,,,,,,,,,,,,,,
25,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00016150649753399193,3.3988471031188965,-0.0005073354113847017,0.20438186824321747,0.00039925516466610134,0.20752283930778503,0.2438381016254425,0.008993216790258884,0.44256600737571716,1.526222586631775,0.00017724779900163412,234.5807342529297,-2.9074712983856443e-06,0.0002683427301235497,4.4136879296274856e-05,0.2241220474243164,0.26838505268096924,0.004818289075046778,0.512576162815094,1.546601414680481,8.0,0.08137481659650803,0.08058834075927734,0.826474666595459,2.2854450776321755e-07,8.64769026520662e-05,0.08930990844964981,0.002642838732126548,-0.0004812011611647904,-2.2727306713932194e-05,0.004574121907353401,0.06921564042568207,,
25,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0011692376574501395,4.2547712326049805,4.169390649622073e-06,0.20836642384529114,0.0010787543142214417,0.23085765540599823,0.2311910092830658,0.013262813910841942,0.5950788855552673,1.3575266599655151,0.0009974902495741844,85.84400177001953,7.867051317589357e-05,9.889840293908492e-05,8.717212767805904e-05,0.2130345106124878,0.2750839591026306,0.008088067173957825,0.5698674321174622,1.4552286863327026,,,,,,,,,,,,,,
25,model.layers.19.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008964218432083726,1.5634583234786987,0.0012816214002668858,0.18958812952041626,0.0012614134466275573,0.12614087760448456,0.2637811005115509,0.004996012896299362,0.6885212659835815,1.4472988843917847,0.0008546587778255343,52.89762496948242,3.8852049328852445e-05,8.058197272475809e-05,0.00012548136874102056,0.2327021062374115,0.26525601744651794,0.008977322839200497,0.5117475986480713,1.4292672872543335,,,,,,,,,,,,,,
25,model.layers.19.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0004656280798371881,1.433806300163269,0.0004003990034107119,0.36073681712150574,0.00010186075087403879,0.060042958706617355,0.5104071497917175,0.009137754328548908,0.6124655604362488,1.4559154510498047,0.0004360644379630685,109.29124450683594,-8.453874329461541e-07,8.963275467976928e-05,9.285127453040332e-05,0.1995345503091812,0.295501172542572,0.008518831804394722,0.540738582611084,1.4787371158599854,,,,,,,,,,,,,,
25,model.layers.1.mlp.gate_proj.weight,3584,1024,0.00027901785714285713,0.0008963626460172236,2.889568567276001,0.0005542890867218375,0.3241440951824188,0.00032182561699301004,0.1732662469148636,0.30492833256721497,0.007357087917625904,0.5262305736541748,1.5176002979278564,0.0002684311766643077,225.90377807617188,1.346580120298313e-05,0.00023652346862945706,6.642152584390715e-05,0.22060054540634155,0.27261143922805786,0.008086278103291988,0.5414214134216309,1.5261814594268799,,,,,,,,,,,,,0.36732858419418335,0.36573225259780884
