step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00014494216884486377,2.2159833908081055,-0.0003609175037126988,0.5913006663322449,0.0012046759948134422,0.1683306097984314,0.27754122018814087,0.008724620565772057,0.5575152039527893,1.5347622632980347,0.00019370688823983073,78.09048461914062,9.243315435014665e-05,0.0021181923802942038,0.00011605994950514287,0.22586894035339355,0.2658687233924866,0.00866894330829382,0.5233606100082397,1.5288584232330322,8.0,0.077968530356884,0.07232256978750229,0.8697069883346558,1.8464974345988594e-05,0.0004060132196173072,0.3288949131965637,0.0454787515623087,0.0026294109411537647,0.0010331333614885807,0.013858831487596035,0.07277197390794754
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.001094916951842606,2.3227009773254395,1.436236175322847e-06,0.4653564989566803,0.00274848029948771,0.13697358965873718,0.24462933838367462,0.027720259502530098,0.7373772263526917,1.3080052137374878,0.0009595399023965001,58.869686126708984,7.605071004945785e-05,0.0008393399766646326,0.00018451191135682166,0.21824929118156433,0.26319974660873413,0.010241732932627201,0.5434847474098206,1.3699716329574585,,,,,,,,,,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0007108848658390343,1.7095838785171509,-0.0003468765353318304,0.8204028010368347,0.00017577086691744626,0.12024106085300446,0.2601770758628845,0.0030647767707705498,0.7761922478675842,1.4500994682312012,0.0008888943120837212,34.80967712402344,0.00013049364497419447,0.0008309641852974892,9.964738273993134e-05,0.21712122857570648,0.25247713923454285,0.008762164041399956,0.5537882447242737,1.4310277700424194,,,,,,,,,,,,
20,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002209430531365797,1.8764513731002808,-0.00013463376672007143,1.1659611463546753,7.738133717793971e-05,0.14926937222480774,0.33791640400886536,0.021574102342128754,0.4875425696372986,1.389187216758728,0.00041242840234190226,20.542497634887695,0.0002863745903596282,0.0017324317013844848,6.409547495422885e-05,0.18916139006614685,0.3092907667160034,0.00801372341811657,0.5868968963623047,1.4852094650268555,,,,,,,,,,,,
20,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00010131840099347755,2.2465097904205322,0.0005245674401521683,0.5793526768684387,0.0003316430374979973,0.1955769956111908,0.243216872215271,0.003027457045391202,0.4498418867588043,1.549338936805725,0.00020873063476756215,69.07820129394531,0.00013716454850509763,0.0020583178848028183,0.00010879898036364466,0.22590899467468262,0.2626328766345978,0.00817929022014141,0.49704524874687195,1.5296980142593384,8.0,0.07370267063379288,0.07624810189008713,0.8997710943222046,8.32753266877262e-06,0.008114282041788101,0.2561820447444916,0.0010262808990230176,0.007528814021497965,0.005137008614838123,0.009631947614252567,0.0776154026389122
20,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0008476583170704544,2.906578302383423,2.0185534594929777e-06,0.4586997330188751,4.855355655308813e-05,0.24530838429927826,0.22359147667884827,0.0033745255786925554,0.5788541436195374,1.469444990158081,0.0009993098210543394,37.45560836791992,3.875179390888661e-05,0.0008754674345254898,6.529003439936787e-05,0.20687507092952728,0.28448399901390076,0.007089466322213411,0.5693642497062683,1.4616930484771729,,,,,,,,,,,,
20,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0007935422472655773,1.582770586013794,-0.0005475953803397715,0.43955492973327637,0.0001223393774125725,0.1725068837404251,0.2569670081138611,0.00746343145146966,0.6767154932022095,1.4236072301864624,0.0008981037535704672,38.74650955200195,3.2319865113095148e-06,0.000710764026734978,6.149456021375954e-05,0.22278155386447906,0.2622833847999573,0.007881088182330132,0.5279504656791687,1.4587739706039429,,,,,,,,,,,,
20,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00036874422221444547,1.6098599433898926,-0.0001913281885208562,0.7503397464752197,1.8956276107928716e-05,0.08681590855121613,0.4180239737033844,0.014123855158686638,0.5151872634887695,1.4403116703033447,0.00044496930786408484,29.98737335205078,0.00013657307135872543,0.0015318881487473845,7.108802674338222e-05,0.1942528486251831,0.3034699261188507,0.008470266126096249,0.5749874711036682,1.502081274986267,,,,,,,,,,,,
20,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00017483123519923538,2.265673875808716,0.0016353046521544456,0.3088591694831848,0.00043783572618849576,0.22451533377170563,0.2082708179950714,0.006859777960926294,0.3851708471775055,1.5296211242675781,0.00022144535614643246,60.727230072021484,0.0001751084200805053,0.0020956138614565134,9.933768888004124e-05,0.21994516253471375,0.26926955580711365,0.009104622527956963,0.5091344118118286,1.513668417930603,8.0,0.08501246571540833,0.08457918465137482,0.878211498260498,5.194289769860916e-06,0.004850813187658787,0.1054610013961792,0.0010708080416446434,0.006702379323542118,0.009449534118175507,0.0044339303858578205,0.09534315019845963
20,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.001114429673179984,2.477233409881592,7.234224995045224e-06,0.3286440968513489,0.0003747333830688149,0.23350442945957184,0.22966265678405762,0.01102994941174984,0.5984311103820801,1.3452664613723755,0.0010470481356605887,25.20412826538086,0.0001591167674632743,0.0009110282990150154,0.0001155233767349273,0.20675568282604218,0.2793990671634674,0.00869448110461235,0.5699443221092224,1.431815505027771,,,,,,,,,,,,
