step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001275583344977349,2.270975112915039,-0.0012426291359588504,3.1012399196624756,0.0006676570628769696,0.1786843091249466,0.24696612358093262,0.0071386247873306274,0.5406500697135925,1.5317434072494507,0.002231668448075652,25.37261390686035,-5.947781573922839e-07,6.176881470310036e-06,0.00012240558862686157,0.2394588142633438,0.2568451166152954,0.009685546159744263,0.48763883113861084,1.5122934579849243,8.0,0.25529754161834717,0.23146577179431915,0.9013453722000122,0.0007855755393393338,0.8807903528213501,2.5298051834106445,0.0008918984373784023,0.1482885479927063,0.12202655524015427,0.17142364382743835,0.26580527424812317
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009473031968809664,2.2143208980560303,3.199407046849956e-06,2.314188003540039,0.00030303519451990724,0.1288686990737915,0.271418958902359,0.014063707552850246,0.7461836338043213,1.3413585424423218,0.008438017219305038,74.58789825439453,1.9585277186706662e-05,1.2453672752599232e-05,0.0007772722747176886,0.20059321820735931,0.2955488860607147,0.011238621547818184,0.5743340253829956,1.3901463747024536,,,,,,,,,,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.000920864928048104,1.9755743741989136,-0.0022691625636070967,4.29911470413208,0.0003733959165401757,0.12534521520137787,0.27134475111961365,0.0028851008974015713,0.7305020689964294,1.479493498802185,0.008237713016569614,19.446739196777344,1.1329912922519725e-05,1.205518583446974e-05,0.00015664745296817273,0.22041593492031097,0.28114184737205505,0.010126534849405289,0.5452852845191956,1.4378055334091187,,,,,,,,,,,,
20,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002655921853147447,1.6053833961486816,-0.0006986916996538639,7.400753974914551,1.7652613678365014e-05,0.14441564679145813,0.3690042197704315,0.007474650628864765,0.548315167427063,1.445239543914795,0.01191013865172863,64.79652404785156,1.0465392733749468e-05,1.7091490008169785e-05,4.8179492296185344e-05,0.12400111556053162,0.40328437089920044,0.004388631787151098,0.7389056086540222,1.5491946935653687,,,,,,,,,,,,
20,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00015766640717629343,2.9883370399475098,0.00024234237207565457,1.6753604412078857,0.00040553853614255786,0.18545471131801605,0.26332515478134155,0.004215560853481293,0.49024128913879395,1.5420154333114624,0.0015979681629687548,125.16100311279297,7.964691803863388e-07,3.910673513018992e-06,0.0001186774461530149,0.22140619158744812,0.27551034092903137,0.009871472604572773,0.49512797594070435,1.5036579370498657,8.0,0.11827880889177322,0.11316098272800446,0.902596652507782,0.00021521637972909957,0.21135565638542175,2.046135187149048,0.0010182664775085911,0.03396717086434364,0.025916771963238716,0.045597534626722336,0.10709226131439209
20,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010562348179519176,2.7856409549713135,1.366164497085265e-07,1.5381085872650146,0.00019883977074641734,0.2527781128883362,0.22369791567325592,0.003648590063676238,0.5502119660377502,1.4630024433135986,0.009491803124547005,33.442195892333984,1.2750054338539485e-05,8.696985787537415e-06,0.0001241340214619413,0.16391441226005554,0.34033772349357605,0.0053277043625712395,0.6648853421211243,1.509105920791626,,,,,,,,,,,,
20,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008686187211424112,1.5527697801589966,-0.0029876171611249447,1.6302443742752075,0.00013199153181631118,0.17351624369621277,0.25690948963165283,0.003131323726847768,0.6640788912773132,1.462656855583191,0.003983796574175358,66.04706573486328,-4.691028607339831e-06,4.710646862804424e-06,5.9667854657163844e-05,0.23858116567134857,0.2582619786262512,0.008481569588184357,0.5213847756385803,1.4255369901657104,,,,,,,,,,,,
20,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0007664087461307645,1.3175840377807617,-0.0008137879776768386,3.5873403549194336,1.942892777151428e-05,0.04493864253163338,0.635834813117981,0.006368656642735004,0.7463603615760803,1.454964518547058,0.013836091384291649,13.888703346252441,1.7208708413818385e-06,1.0985979315591976e-05,5.009248707210645e-05,0.09238065034151077,0.44209372997283936,0.003651517676189542,0.8005788326263428,1.5466337203979492,,,,,,,,,,,,
20,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00015610594709869474,2.2057101726531982,0.00036324613029137254,1.2423065900802612,0.0005648712976835668,0.2003311663866043,0.22703737020492554,0.006958458572626114,0.38007476925849915,1.5267561674118042,0.0015174509026110172,119.25972747802734,2.962885048418684e-07,3.4318125017307466e-06,9.601434430805966e-05,0.248465433716774,0.2559272348880768,0.009658451192080975,0.4771675765514374,1.4955066442489624,8.0,0.0987873524427414,0.10298141837120056,0.8718379735946655,6.108886009315029e-05,0.11835530400276184,1.403050422668457,0.0005161480561253492,0.017879769206047058,0.017224008217453957,0.028317766264081,0.11962814629077911
20,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009781072149053216,2.522723913192749,-8.904992682801094e-06,1.1005703210830688,0.0003288965381216258,0.24736332893371582,0.2100440263748169,0.009771679528057575,0.5850940346717834,1.3540147542953491,0.007317174691706896,49.5444221496582,-4.031366643175716e-06,6.578003194590565e-06,0.00024907884653657675,0.18871019780635834,0.3206433355808258,0.007224074099212885,0.6243647336959839,1.4821833372116089,,,,,,,,,,,,
20,model.layers.19.self_attn.v_proj.weight,512,1024,0.0009765625,0.0015930638182908297,1.3519138097763062,-0.003285340964794159,0.9078184962272644,0.003850260516628623,0.12015645205974579,0.26498591899871826,0.011238600127398968,0.7054405808448792,1.4031139612197876,0.003387408098205924,39.17544174194336,-2.255516619698028e-06,3.814896444964688e-06,0.00016724014130886644,0.22859060764312744,0.2831057608127594,0.009758341126143932,0.5324309468269348,1.4319161176681519,,,,,,,,,,,,
20,model.layers.19.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0014398357598111033,1.1639213562011719,-0.0007077024783939123,2.497426986694336,2.848243275366258e-05,0.028851130977272987,0.7082458138465881,0.004148158710449934,0.7914206385612488,1.4665449857711792,0.002933634677901864,39.69720458984375,4.417041509441333e-06,6.2484950831276365e-06,5.473278361023404e-05,0.17806905508041382,0.3314818739891052,0.006987833417952061,0.6079440116882324,1.5075182914733887,,,,,,,,,,,,
