run,ckpt,n_matrices,disp_fro_total,kl_base_to_ckpt
v3_rlvr_exact_iso_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s0/ckpt_000300,186,0.63834062969995,0.6610287808738714
v3_rlvr_exact_iso_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s1/ckpt_000300,186,0.6399705728044189,0.6175802555098566
v3_rlvr_exact_iso_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s2/ckpt_000300,186,0.6424223422182256,0.5249898702959105
v3_rlvr_frame_matched_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s0/ckpt_000300,186,0.09339592572508458,0.5024452253604885
v3_rlvr_frame_matched_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s1/ckpt_000300,186,0.09320136047683798,0.5234270307077438
v3_rlvr_frame_matched_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s2/ckpt_000300,186,0.0887524318722233,0.31930646695340376
v3_rlvr_full_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s0/ckpt_000300,186,0.09558177652330127,0.6049373842098157
v3_rlvr_full_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s1/ckpt_000300,186,0.09715292946750484,0.6739934725708843
v3_rlvr_full_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s2/ckpt_000300,186,0.09437772574567073,0.5203809063257175
v3_rlvr_random_ext_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_random_ext_lr0.1_s0/ckpt_000300,186,0.13135699655383737,0.004243468534387135
v3_rlvr_random_ext_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_random_ext_lr0.1_s1/ckpt_000300,186,0.13581035098591673,0.004642147417592113
