step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00012667052214965224,2.1323111057281494,-0.0016433101845905185,4.3104023933410645,0.001107573974877596,0.18031275272369385,0.2390298694372177,0.00805983878672123,0.5445069074630737,1.5313981771469116,1.0003091096878052,26.486303329467773,0.055003728717565536,0.001408346346579492,0.024893146008253098,0.5491920113563538,0.4259147644042969,0.024893146008253098,0.4259147644042969,1.2661393880844116,8.0,0.2062218338251114,0.24905997514724731,0.8856455683708191,0.0018493467941880226,1.6072498559951782,4.266168594360352,0.0011506280665011743,0.11050993949174881,0.1422947198152542,0.2235645204782486,0.29231688380241394
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009420686983503401,2.177396774291992,-5.588148269453086e-06,3.1372900009155273,0.00047116121277213097,0.1364165097475052,0.27433496713638306,0.011222859844565392,0.73687344789505,1.3488969802856445,1.0001448392868042,32.84866714477539,0.12432824820280075,0.0005203703767620027,0.046378977596759796,0.4761980175971985,0.477422833442688,0.046378981322050095,0.477422833442688,1.2351410388946533,,,,,,,,,,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0009509675437584519,1.9265974760055542,-0.001662239315919578,5.217119216918945,0.0004436370509210974,0.13365879654884338,0.25898584723472595,0.003443943802267313,0.709003210067749,1.4696342945098877,1.000148057937622,19.728652954101562,0.019513949751853943,0.0005310859996825457,0.0528881698846817,0.41361990571022034,0.5334919095039368,0.0528881773352623,0.533491849899292,0.9730276465415955,,,,,,,,,,,,
20,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002429910091450438,1.5819792747497559,-0.000504854426253587,9.145465850830078,1.9936389435315505e-05,0.14703653752803802,0.36042025685310364,0.009383335709571838,0.5346803665161133,1.4383763074874878,1.0003244876861572,54.78592300415039,-0.015597637742757797,0.0010219371179118752,0.01864943467080593,0.3363591134548187,0.644991397857666,0.01864943467080593,0.644991397857666,1.4118456840515137,,,,,,,,,,,,
20,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001501534425187856,2.869713306427002,3.659125286503695e-05,2.1597421169281006,0.000357620301656425,0.2171192169189453,0.23396249115467072,0.0038868789561092854,0.46433523297309875,1.5414917469024658,1.0003241300582886,57.568016052246094,0.11607551574707031,0.001113243168219924,0.02735772356390953,0.4881290793418884,0.4845130741596222,0.02735772542655468,0.48451313376426697,1.2839126586914062,8.0,0.12120693922042847,0.1148395985364914,0.8702239990234375,0.0002828759024851024,0.3453832268714905,3.702576160430908,0.0008190203822212662,0.036435309797525406,0.026817312464118004,0.04782925546169281,0.09893893450498581
20,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009786748560145497,3.1507368087768555,-1.2498271644290071e-05,2.388974905014038,0.00015549658564850688,0.22425079345703125,0.2567296326160431,0.0027573390398174524,0.5964933633804321,1.4844684600830078,1.000148892402649,25.99407386779785,-0.04150736704468727,0.00043088788515888155,0.014573595486581326,0.5881181359291077,0.39730820059776306,0.014573597349226475,0.39730820059776306,1.263753890991211,,,,,,,,,,,,
20,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0009149583638645709,1.6212259531021118,-0.002664513187482953,2.010312795639038,5.9443555073812604e-05,0.17619533836841583,0.2548334002494812,0.003416135674342513,0.6590231657028198,1.4645321369171143,1.0001462697982788,23.907899856567383,0.012493030168116093,0.00043900590389966965,0.005557723809033632,0.40412092208862305,0.5903211832046509,0.005557727999985218,0.5903212428092957,1.5684291124343872,,,,,,,,,,,,
20,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0006135100848041475,1.3366752862930298,-0.0007370234234258533,4.34241247177124,2.4493487217114307e-05,0.052709147334098816,0.6067506074905396,0.013065308332443237,0.7214759588241577,1.438611626625061,1.0003293752670288,41.903297424316406,-0.05969696491956711,0.0008369060815311968,0.015241434797644615,0.31416425108909607,0.6705942153930664,0.015241436660289764,0.6705942153930664,1.5444586277008057,,,,,,,,,,,,
20,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00018332520266994834,2.206429958343506,0.0008705851505510509,1.5518206357955933,0.0004386111395433545,0.20473255217075348,0.24515752494335175,0.006328746676445007,0.4365822672843933,1.5304046869277954,1.0002555847167969,5.319247722625732,-0.14535029232501984,0.0010286362376064062,0.2474379539489746,0.40503430366516113,0.3475276529788971,0.2474379539489746,0.3475276827812195,1.2427767515182495,8.0,0.1017935574054718,0.11177220940589905,0.8447737097740173,0.0002184547483921051,0.17561373114585876,2.025887966156006,0.00124395027066912,0.015306313522160053,0.024379199370741844,0.046536270529031754,0.13067123293876648
20,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0011533607030287385,2.8476531505584717,-5.2208142733434215e-06,1.2852650880813599,0.00045836620847694576,0.23556172847747803,0.21904581785202026,0.00854985136538744,0.6053677797317505,1.3832536935806274,1.0001345872879028,31.4683780670166,0.011702118441462517,0.0003821665595751256,0.043561287224292755,0.6447207927703857,0.31171777844429016,0.043561287224292755,0.31171780824661255,1.243294596672058,,,,,,,,,,,,
20,model.layers.19.self_attn.v_proj.weight,512,1024,0.0009765625,0.001437683473341167,1.3606990575790405,-0.005454094614833593,1.1305978298187256,0.003467951901257038,0.10354363918304443,0.2760629653930664,0.010233073495328426,0.7322084307670593,1.3938307762145996,1.0001325607299805,3.0422043800354004,0.1747928410768509,0.00039707095129415393,0.35023999214172363,0.21763089299201965,0.43212890625,0.35023999214172363,0.4321290850639343,0.9411447644233704,,,,,,,,,,,,
20,model.layers.19.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0014589391648769379,1.1727192401885986,-0.0011698661837726831,3.1438183784484863,2.0694142222055234e-05,0.026749148964881897,0.7210376262664795,0.003624730510637164,0.8122690916061401,1.46330726146698,1.0003302097320557,25.670398712158203,0.07393483817577362,0.0008088395115919411,0.0049162255600094795,0.19144704937934875,0.8036365509033203,0.004916229750961065,0.8036365509033203,1.5705100297927856,,,,,,,,,,,,
20,model.layers.1.mlp.gate_proj.weight,3584,1024,0.00027901785714285713,0.0006723488331772387,2.417710542678833,-7.890828783274628e-06,6.014063358306885,0.00019885471556335688,0.17731435596942902,0.31154054403305054,0.007255968172103167,0.5318450331687927,1.5154539346694946,1.0003249645233154,68.23793029785156,0.04146779328584671,0.0014580778079107404,0.016845159232616425,0.5294268727302551,0.45372793078422546,0.016845161095261574,0.45372793078422546,1.556865930557251,,,,,,,,,,,,
