cfg,n_seeds,gsm8k,mmlu,gsm8k_spread,reward_peak,reward_last100,decline,trunc_frac_last,groups_kept_last,verdict
v3_rlvr_exact_iso_lr0.1,2,0.6759999999999999,0.472,0.05999999999999994,0.6378125,0.62,0.01781250000000001,0.225625,4.0,FAIL: spread 0.060
v3_rlvr_frame_matched_lr0.1,2,0.647,0.471,0.006000000000000005,0.5671875,0.5490625,0.018125000000000058,0.13453125,4.83,HEALTHY
v3_rlvr_full_lr0.1,3,0.64,0.4696666666666667,0.028000000000000025,0.5855208333333333,0.5598958333333334,0.025625000000000047,0.13916666666666666,4.82,HEALTHY
v3_rlvr_random_ext_lr0.1,2,0.557,0.4765,0.0020000000000000018,0.3678125,0.347109375,0.020703125000000017,0.4703125,5.2,HEALTHY
v3_rlvr_random_ext_lr0.1_srel10,1,0.588,0.47,,0.514375,0.49515625,0.019218750000000007,0.18375,5.06,HEALTHY
v3_rlvr_random_ext_lr0.1_srel3,1,0.56,0.479,,0.4175,0.4003125,0.017187499999999967,0.3203125,5.66,HEALTHY
v3_rlvr_random_ext_lr1,1,0.624,0.475,,0.59875,0.57984375,0.018906250000000013,0.1028125,5.22,HEALTHY
v3_rlvr_spectrum_matched_lr0.1,2,0.55,0.479,0.008000000000000007,0.36343749999999997,0.34484375,0.018593749999999992,0.47515625,5.17,HEALTHY
v3_rlvr_spectrum_matched_lr0.1_srel10,1,0.608,0.473,,0.5390625,0.5071875,0.03187499999999999,0.15,5.02,FAIL: decline 0.032
v3_rlvr_spectrum_matched_lr0.1_srel3,1,0.55,0.481,,0.41875,0.40296875,0.015781250000000024,0.3203125,5.48,HEALTHY
v3_rlvr_spectrum_matched_lr1,1,0.614,0.478,,0.588125,0.57765625,0.010468750000000027,0.1375,5.04,HEALTHY
