run,ckpt,matrix,m,n,disp_fro,w0_fro,rel_disp
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.linear_attn.out_proj.weight,1024,2048,0.003611156949773431,17.915380477905273,0.00020156741601033858
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.01159188337624073,41.524749755859375,0.00027915600802880334
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.00540953129529953,25.05157470703125,0.00021593577883075076
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.00031649123411625624,2.2407264709472656,0.00014124492133234798
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.00017135054804384708,4.82482385635376,3.5514363455610375e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.mlp.gate_proj.weight,3584,1024,0.019252831116318703,23.213136672973633,0.0008293937776506612
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.mlp.up_proj.weight,3584,1024,0.010166767984628677,16.39203643798828,0.0006202260483674473
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.0.mlp.down_proj.weight,1024,3584,0.010250583291053772,16.277727127075195,0.0006297306258441753
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.0036180985625833273,18.343368530273438,0.00019724286499571262
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.011734316125512123,41.7341194152832,0.00028116841303748625
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.005500195547938347,27.767534255981445,0.0001980800850818629
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.0002775356115307659,2.381861448287964,0.00011652046836320104
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.0001920964423334226,3.858166456222534,4.978956831258675e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.mlp.gate_proj.weight,3584,1024,0.019334327429533005,25.48297691345215,0.0007587154159891991
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.mlp.up_proj.weight,3584,1024,0.009984578937292099,16.392898559570312,0.0006090795292247457
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.1.mlp.down_proj.weight,1024,3584,0.01022681687027216,16.452600479125977,0.0006215927313890166
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.2.linear_attn.out_proj.weight,1024,2048,0.0035866866819560528,18.105716705322266,0.00019809691824581175
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.2.linear_attn.in_proj_qkv.weight,6144,1024,0.011526303365826607,43.281288146972656,0.000266311467595098
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.2.linear_attn.in_proj_z.weight,2048,1024,0.005392692517489195,28.25383949279785,0.00019086582971719078
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.2.linear_attn.in_proj_b.weight,16,1024,0.00029271282255649567,2.371030330657959,0.00012345384990299475
