run,ckpt,matrix,m,n,disp_fro,w0_fro,rel_disp
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.linear_attn.out_proj.weight,1024,2048,0.008873729035258293,17.915380477905273,0.0004953134568479921
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.034426961094141006,41.524749755859375,0.0008290708865568339
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.026477089151740074,25.05157470703125,0.0010569031871800348
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.0006457859417423606,2.2407264709472656,0.0002882038259089049
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.004049584269523621,4.82482385635376,0.0008393227172823658
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.mlp.gate_proj.weight,3584,1024,0.08131179213523865,23.213136672973633,0.0035028351954653142
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.mlp.up_proj.weight,3584,1024,0.046271417289972305,16.39203643798828,0.0028227985866807275
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.0.mlp.down_proj.weight,1024,3584,0.033987704664468765,16.277727127075195,0.0020879883536035
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.008639349602162838,18.343368530273438,0.0004709794489438879
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.03297891095280647,41.7341194152832,0.000790214611326613
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.026134129613637924,27.767534255981445,0.0009411757404425758
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.0006092459661886096,2.381861448287964,0.0002557856447219144
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.0040013762190938,3.858166456222534,0.0010371186065962223
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.mlp.gate_proj.weight,3584,1024,0.08113084733486176,25.48297691345215,0.003183727223487527
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.mlp.up_proj.weight,3584,1024,0.046205244958400726,16.392898559570312,0.0028186134862297255
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.1.mlp.down_proj.weight,1024,3584,0.033935096114873886,16.452600479125977,0.0020625977126186587
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.linear_attn.out_proj.weight,1024,2048,0.008661960251629353,18.105716705322266,0.0004784102387442705
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.linear_attn.in_proj_qkv.weight,6144,1024,0.032974179834127426,43.281288146972656,0.0007618576351552936
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.linear_attn.in_proj_z.weight,2048,1024,0.026152197271585464,28.25383949279785,0.0009256156947536949
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.linear_attn.in_proj_b.weight,16,1024,0.0005818174686282873,2.371030330657959,0.000245385924045448
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.linear_attn.in_proj_a.weight,16,1024,0.004846182186156511,3.5141475200653076,0.0013790491601406787
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.mlp.gate_proj.weight,3584,1024,0.07987275719642639,31.121614456176758,0.0025664721638685396
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.mlp.up_proj.weight,3584,1024,0.04570259898900986,15.61931037902832,0.0029260318080607233
v4_sft_lrscale_a2_lr0.1_s1,/scratch/rhong5/spectral_runs/v4_sft_lrscale_a2_lr0.1_s1/ckpt_000300,model.layers.2.mlp.down_proj.weight,1024,3584,0.03375585004687309,15.772757530212402,0.0021401362432798728
