matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.0.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025088996021524534,0.028625941209846184,0.9045414772918972,0.9036860139908629,0.0009457424811468718
model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025569312294461823,0.010029470982589106,0.9045414772918972,0.9082491527567657,-0.004098955722814379
model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02568384453626913,0.005595110656203328,0.9045414772918972,0.9050381007760752,-0.0005490334016133858
model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025820709766536835,0.00029608098923972204,0.9045414772918972,0.9046113752259424,-7.727443771243792e-05
model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.02582942159612673,-4.121609753737765e-05,0.9045414772918972,0.9045496085672947,-8.98938921167769e-06
model.layers.0.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025771013519228128,0.0022201773306590455,0.9045414772918972,0.9048898787611225,-0.0003851691469896057
model.layers.0.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025633806851047575,0.0075324264955627385,0.9045414772918972,0.9033675071123561,0.0012978621865475937
model.layers.0.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.02564126973547391,0.0072434849879284835,0.9045414772918972,0.903642166484807,0.0009942173240995444
model.layers.1.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.02552141719526696,0.011883832028410035,0.9045414772918972,0.9034776435403897,0.0011761027860131001
model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025715840933028422,0.004356301827023068,0.9045414772918972,0.9053131232125985,-0.0008530796431929222
model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02578755568527633,0.0015797120461320535,0.9045414772918972,0.9047477474936854,-0.0002280384116886136
model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.02582683278234026,5.9015356644986916e-05,0.9045414772918972,0.9045612002419576,-2.180436227150473e-05
model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025828180818067238,6.8232747304497465e-06,0.9045414772918972,0.9045627461604767,-2.351342543538415e-05
model.layers.1.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025707298242726558,0.004687050325065334,0.9045414772918972,0.903552515662861,0.0010933292213387569
model.layers.1.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025492937872928622,0.012986469810633339,0.9045414772918972,0.9010637194224111,0.003844774348986224
model.layers.1.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025506751342540223,0.01245165183580954,0.9045414772918972,0.9007167719595925,0.004228336044639347
model.layers.2.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.02539745873812146,0.01668314841139662,0.9045414772918972,0.9023923293420119,0.0023759529041383898
model.layers.2.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025587149057853198,0.009338882597294762,0.9045414772918972,0.9034063132208509,0.001254960772440028
model.layers.2.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.02577982666028833,0.001878957753957189,0.9045414772918972,0.9042305689950229,0.00034371922645837216
model.layers.2.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025827032865597375,5.1268706065865643e-05,0.9045414772918972,0.9045628529330949,-2.3631466034901294e-05
model.layers.2.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025828226815083646,5.042402013155645e-06,0.9045414772918972,0.9045991412351484,-6.3749363294896e-05
model.layers.2.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.02574193833207363,0.0033458852917155335,0.9045414772918972,0.9042767187721066,0.00029269914806251407
model.layers.2.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.02536795778124219,0.017825340956583613,0.9045414772918972,0.9029939933165151,0.0017107938267408862
model.layers.2.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025479054792614104,0.01352398291247503,0.9045414772918972,0.9024043379471769,0.0023626770008586817
model.layers.3.self_attn.q_proj.weight,4096,1024,0.02582835705204324,0.025740335687022043,0.003407935117353267,0.9045414772918972,0.9032740088287879,0.0014012275776494887
model.layers.3.self_attn.k_proj.weight,512,1024,0.02582835705204324,0.025819586340386426,0.00033957683174123954,0.9045414772918972,0.9040702806907427,0.0005209231560781014
model.layers.3.self_attn.v_proj.weight,512,1024,0.02582835705204324,0.025610428411142933,0.008437572721377129,0.9045414772918972,0.9042813609416754,0.0002875670787374496
model.layers.3.self_attn.o_proj.weight,1024,2048,0.02582835705204324,0.02508603305534295,0.028740658773011907,0.9045414772918972,0.9036806944718496,0.0009516233822960407
model.layers.3.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.02575492452453125,0.0028430971185672282,0.9045414772918972,0.9063472802939161,-0.001996373905843729
model.layers.3.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.025392569621278362,0.016872441010738037,0.9045414772918972,0.9080459906231881,-0.0038743533815421838
model.layers.3.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025537165927654894,0.011274086222426205,0.9045414772918972,0.9074387273355414,-0.003203004081491434
model.layers.4.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.02552938957131637,0.011575164464563636,0.9045414772918972,0.9038359765745037,0.0007799539712713965
model.layers.4.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025635983176327242,0.007448165414794761,0.9045414772918972,0.9060287897085328,-0.0016442722130205478
model.layers.4.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.025771072010392266,0.0022179127203308946,0.9045414772918972,0.9048401616495337,-0.00033020526436322584
model.layers.4.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.02582610685982699,8.712099696150943e-05,0.9045414772918972,0.9045960055909807,-6.0282806761735586e-05
model.layers.4.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.02582821717860631,5.415498811944808e-06,0.9045414772918972,0.9045007337807711,4.5043275680445305e-05
model.layers.4.mlp.gate_proj.weight,3584,1024,0.02582835705204324,0.025753071796730236,0.002914829431903354,0.9045414772918972,0.9046287974072879,-9.653522539632142e-05
model.layers.4.mlp.up_proj.weight,3584,1024,0.02582835705204324,0.02537600334561043,0.017513839750679217,0.9045414772918972,0.9032614090403318,0.0014151570532705549
model.layers.4.mlp.down_proj.weight,1024,3584,0.02582835705204324,0.025505684463832678,0.012492958323302883,0.9045414772918972,0.902240950348502,0.0025433073011562612
model.layers.5.linear_attn.out_proj.weight,1024,2048,0.02582835705204324,0.025462526969407377,0.014163892883265028,0.9045414772918972,0.9027280056261313,0.0020048518628412726
model.layers.5.linear_attn.in_proj_qkv.weight,6144,1024,0.02582835705204324,0.025528096492834485,0.011625228759372552,0.9045414772918972,0.9044431525731343,0.00010870117206474017
model.layers.5.linear_attn.in_proj_z.weight,2048,1024,0.02582835705204324,0.025707348896355835,0.004685089161636569,0.9045414772918972,0.90456656927534,-2.7740003164744564e-05
model.layers.5.linear_attn.in_proj_b.weight,16,1024,0.02582835705204324,0.025827236138199972,4.339857316548734e-05,0.9045414772918972,0.9045386160211438,3.1632278068016717e-06
model.layers.5.linear_attn.in_proj_a.weight,16,1024,0.02582835705204324,0.025827872742719235,1.8751069726596903e-05,0.9045414772918972,0.904557491628105,-1.770436913051121e-05
