matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.0.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005821995542044059,0.006289186708102523,0.5057602868779256,0.4992007286971121,0.012969697999235752
model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005830464313420588,0.0048437184607670325,0.5057602868779256,0.503250378992893,0.00496264327222351
model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005835503549696725,0.0039836106949385774,0.5057602868779256,0.5004687463484508,0.01046254652009082
model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.00585988823731402,-0.0001784206204518135,0.5057602868779256,0.5057756279031224,-3.033260142148997e-05
model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005859108450240785,-4.532487327324475e-05,0.5057602868779256,0.5056847989659844,0.00014925630560524983
model.layers.0.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005861547272131184,-0.00046158827757869503,0.5057602868779256,0.5006549580694716,0.01009436474336367
model.layers.0.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005730898836230119,0.021837769830308162,0.5057602868779256,0.4956605210503433,0.019969471881488565
model.layers.0.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005857711525474938,0.00019310527239646547,0.5057602868779256,0.49604081720737137,0.019217542228459394
model.layers.1.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005832733399994933,0.004456425847961243,0.5057602868779256,0.4995147308831526,0.012348846196143626
model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.00584990295262743,0.00152588940438525,0.5057602868779256,0.5030624528194195,0.0053342149008177575
model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005843043900063338,0.0026966073571308424,0.5057602868779256,0.5038238932238596,0.0038286787324079974
model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005859940920939586,-0.00018741277580991422,0.5057602868779256,0.5057583713556274,3.7874114435787476e-06
model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005859746412719443,-0.0001542136913663672,0.5057602868779256,0.505809022108115,-9.636033404314404e-05
model.layers.1.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005849629260798092,0.0015726037188087405,0.5057602868779256,0.501959952945537,0.007514101108745064
model.layers.1.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.0058398117606647615,0.0032482759125664895,0.5057602868779256,0.49782979399318183,0.01568033926447443
model.layers.1.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005840607018537984,0.0031125395757263252,0.5057602868779256,0.4944323145508441,0.022397907904176284
model.layers.2.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005871582539331477,-0.0021744294261487607,0.5057602868779256,0.5000993703710146,0.011192884561688432
model.layers.2.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005841568575599723,0.0029484189330793997,0.5057602868779256,0.5039097539082554,0.0036589131604096714
model.layers.2.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005853235341148917,0.0009571101114472791,0.5057602868779256,0.5040392328411384,0.0034029046594610257
model.layers.2.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005858827126001831,2.6921573601512705e-06,0.5057602868779256,0.5056154281617264,0.00028641773574866747
model.layers.2.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.0058592764330752,-7.399654740969375e-05,0.5057602868779256,0.5057838752244345,-4.6639380593571644e-05
model.layers.2.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005851020911601074,0.0013350737445475547,0.5057602868779256,0.5025791944242599,0.0062897236817518465
model.layers.2.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005829379793941983,0.005028826595139924,0.5057602868779256,0.49696257040998415,0.01739503218461469
model.layers.2.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.00583487801292491,0.004090378666465777,0.5057602868779256,0.4948942161998734,0.021484626136086815
model.layers.3.self_attn.q_proj.weight,4096,1024,0.005858842898928863,0.005861064857369475,-0.0003792486808305018,0.5057602868779256,0.503536541322245,0.00439683702610949
model.layers.3.self_attn.k_proj.weight,512,1024,0.005858842898928863,0.00586423927273416,-0.0009210647730943933,0.5057602868779256,0.5048324784722067,0.0018344825202594173
model.layers.3.self_attn.v_proj.weight,512,1024,0.005858842898928863,0.005852364620679243,0.0011057265677502093,0.5057602868779256,0.5019018853680257,0.007628913558472394
model.layers.3.self_attn.o_proj.weight,1024,2048,0.005858842898928863,0.005864406951927933,-0.0009496846211880516,0.5057602868779256,0.5040546319260758,0.003372457261084816
model.layers.3.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005852144551497645,0.0011432884524762432,0.5057602868779256,0.5028153515619412,0.0058227887645421195
model.layers.3.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005851438205777112,0.0012638490704546257,0.5057602868779256,0.4984402802914509,0.014473272766553857
model.layers.3.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.00585688489627192,0.00033419613577645446,0.5057602868779256,0.4980790397517477,0.015187525247572276
model.layers.4.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.0058425889389169304,0.002774261111337273,0.5057602868779256,0.5038484017524035,0.0037802199483162324
model.layers.4.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.00585748190661748,0.00023229711648897755,0.5057602868779256,0.504749663397757,0.001998226247472479
model.layers.4.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.005857570581596161,0.00021716187900078232,0.5057602868779256,0.504701081798404,0.002094282819357196
model.layers.4.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.0058596022150028074,-0.00012960171266640508,0.5057602868779256,0.505621804395124,0.00027381051141128765
model.layers.4.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005858779971873722,1.0740526111829851e-05,0.5057602868779256,0.5057662018006446,-1.1695111048481976e-05
model.layers.4.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005846864526152691,0.002044494618273829,0.5057602868779256,0.5030402935788711,0.005378028622700093
model.layers.4.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.00584010153149669,0.0031988171991435,0.5057602868779256,0.4985439016615491,0.014268390388900487
model.layers.4.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005844162730078927,0.002505643025966786,0.5057602868779256,0.4939693307681441,0.02331332928998342
model.layers.5.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005844871082104671,0.0023847399674681302,0.5057602868779256,0.5031124655575013,0.0052353286509887464
